Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Patrick Beverley (26450205),Patrick Beverley,26450205,PG/SG/G/UTIL,4000,SAC@LAL 01/18/2023 10:30PM ET,LAL,16.88
SG,Jaden Hardy (26450209),Jaden Hardy,26450209,SG/G/UTIL,3900,ATL@DAL 01/18/2023 07:30PM ET,DAL,9.72
SF/PF,Kenrich Williams (26450216),Kenrich Williams,26450216,SF/PF/F/UTIL,3900,IND@OKC 01/18/2023 08:00PM ET,OKC,17.68
SF/PF,Troy Brown Jr. (26450212),Troy Brown Jr.,26450212,SF/PF/F/UTIL,3900,SAC@LAL 01/18/2023 10:30PM ET,LAL,14.76
SG/SF,Cam Reddish (26450224),Cam Reddish,26450224,SG/SF/F/G/UTIL,3800,WAS@NYK 01/18/2023 07:30PM ET,NYK,14.19
PG,Delon Wright (26450231),Delon Wright,26450231,PG/G/UTIL,3800,WAS@NYK 01/18/2023 07:30PM ET,WAS,18.5
C,Jeremiah Robinson-Earl (26450229),Jeremiah Robinson-Earl,26450229,C/UTIL,3800,IND@OKC 01/18/2023 08:00PM ET,OKC,18.76
C,Isaiah Jackson (26450234),Isaiah Jackson,26450234,C/UTIL,3800,IND@OKC 01/18/2023 08:00PM ET,IND,16.9
PG/SG,Kendrick Nunn (26450220),Kendrick Nunn,26450220,PG/SG/G/UTIL,3800,SAC@LAL 01/18/2023 10:30PM ET,LAL,10.04
SF/PF,Reggie Bullock (26450240),Reggie Bullock,26450240,SF/PF/F/UTIL,3700,ATL@DAL 01/18/2023 07:30PM ET,DAL,14.24
SG,Isaiah Joe (26450249),Isaiah Joe,26450249,SG/G/UTIL,3700,IND@OKC 01/18/2023 08:00PM ET,OKC,13.35
PF/C,Jalen Smith (26450255),Jalen Smith,26450255,PF/C/F/UTIL,3700,IND@OKC 01/18/2023 08:00PM ET,IND,21.44
SG/SF,John Konchar (26450244),John Konchar,26450244,SG/SF/F/G/UTIL,3700,CLE@MEM 01/18/2023 08:00PM ET,MEM,18.82
PG,Ricky Rubio (26450259),Ricky Rubio,26450259,PG/G/UTIL,3700,CLE@MEM 01/18/2023 08:00PM ET,CLE,9.17
PG,Dennis Smith Jr. (26450252),Dennis Smith Jr.,26450252,PG/G/UTIL,3700,CHA@HOU 01/18/2023 08:00PM ET,CHA,22.61
PF/C,Trey Lyles (26450236),Trey Lyles,26450236,PF/C/F/UTIL,3700,SAC@LAL 01/18/2023 10:30PM ET,SAC,14.6
SF/PF,Dorian Finney-Smith (26450262),Dorian Finney-Smith,26450262,SF/PF/F/UTIL,3600,ATL@DAL 01/18/2023 07:30PM ET,DAL,18.67
SG/SF,Chris Duarte (26450283),Chris Duarte,26450283,SG/SF/F/G/UTIL,3600,IND@OKC 01/18/2023 08:00PM ET,IND,12.2
SG/SF,Isaac Okoro (26450288),Isaac Okoro,26450288,SG/SF/F/G/UTIL,3600,CLE@MEM 01/18/2023 08:00PM ET,CLE,11.98
