Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Bryce McGowens (26450707),Bryce McGowens,26450707,SG/SF/F/G/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,6.67
PF,JT Thor (26450712),JT Thor,26450712,PF/F/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,6.41
PG,Theo Maledon (26450715),Theo Maledon,26450715,PG/G/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,13.87
PF/C,Kai Jones (26450718),Kai Jones,26450718,PF/C/F/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,6.64
SG,James Bouknight (26450722),James Bouknight,26450722,SG/G/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,9.89
C,Nick Richards (26450725),Nick Richards,26450725,C/UTIL,3000,CHA@HOU 01/18/2023 08:00PM ET,CHA,18.33
SF,Sterling Brown (26450474),Sterling Brown,26450474,SF/F/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,LAL,4.75
C,Damian Jones (26450477),Damian Jones,26450477,C/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,LAL,8.1
PG,Scotty Pippen Jr. (26450479),Scotty Pippen Jr.,26450479,PG/G/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,LAL,4.6
SF/PF,Cole Swider (26450482),Cole Swider,26450482,SF/PF/F/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,LAL,6
PG,Matthew Dellavedova (26450662),Matthew Dellavedova,26450662,PG/G/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,4.18
SG/SF,PJ Dozier (26450665),PJ Dozier,26450665,SG/SF/F/G/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,2.25
C,Alex Len (26450670),Alex Len,26450670,C/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,3.22
C,Richaun Holmes (26450672),Richaun Holmes,26450672,C/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,6.12
SF/PF,KZ Okpala (26450674),KZ Okpala,26450674,SF/PF/F/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,4.41
PG,Keon Ellis (26450678),Keon Ellis,26450678,PG/G/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,1.5
C,Chimezie Metu (26450681),Chimezie Metu,26450681,C/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,10.68
C,Neemias Queta (26450683),Neemias Queta,26450683,C/UTIL,3000,SAC@LAL 01/18/2023 10:30PM ET,SAC,6.56
